name,name_kana,site_url,catchphrase,description,area,postcode,address,tel,contact,business_hours,regular_holiday/business_holiday,fee,offical_url,access,parking_lot,barrier_free,kankonavi,memo,lat,lng
さざえ堂(国指定重要文化財),サザエドウ(クニシテイジュウヨウブンカザイ),https://www.aizukanko.com/spot/138,不思議な二重構造のらせん階段を体験！国の重要文化財,会津さざえ堂は寛政８年(１７９６)福島県会津若松市の飯盛山に建立された、高さ１６．５ｍ、六角三層のお堂です。正式名称は「円通三匝堂(えんつうさんそうどう)」といいます。(重要文化財指定名称は「旧正宗寺三匝堂」)当時飯盛山には正宗寺(しょうそうじ)というお寺があり、その住職であった僧郁堂(いくどう)の考案した建物です。かつてはその独特な２重螺旋のスロープに沿って西国三十三観音像が安置され、参拝者はこのお堂をお参りすることで三十三観音参りができるといわれていました。    また、上りと下りが全く別の通路になっている一方通行の構造により、たくさんの参拝者がすれ違うこと無く安全にお参りできるという世界にも珍しい建築様式を採用したことで、建築史上その特異な存在が認められ、平成８年に国重要文化財に指定されました。,中心市街地エリア（会津若松駅・鶴ヶ城）,965-0003,福島県会津若松市一箕町八幡滝沢155,0242-22-3163,,8:15 ～ 日没　 (4月～12月)9:00 ～ 16 : 00(1月～3月),無休,大人400円、高校生300円、小中学生200円 障がい者料金：障がい者手帳をご提示でご本人様のみ半額,http://www.sazaedo.jp/,ハイカラさん・あかべぇ「飯盛山下」下車、徒歩5分磐越自動車道：会津若松ＩＣより約15分,,,,,37.504543,139.953976
鶴ヶ城天守閣(国指定史跡・若松城跡),ツルガジョウテンシュカク(クニシテイシセキ・ワカマツジョウアト),https://www.aizukanko.com/spot/134,会津若松市のシンボル「鶴ヶ城」。白虎隊士も見た国内唯一の赤瓦の天守閣が甦りました！,"鶴ヶ城は今から約630年ほど前に、その前身ともいえる東黒川館を葦名直盛が築いたのがはじまりと言われ、戊辰戦争では約１ヶ月に及ぶ激しい攻防戦に耐えた名城として、その名を天下に知らしめました。明治７年に取り壊されましたが、昭和40年に再建、平成12年には天守に続く建物｢干飯櫓・南走長屋｣が江戸時代の工法・技術を用いて復元されました。天守の内部は博物館となっており会津の歴史に触れることができます。平成23年には「赤瓦」へのふき替えが完了し幕末当時の姿を再現し、現存する天守閣では国内唯一の赤瓦の天守となっています。鶴ヶ城公園内は約69,000坪の敷地があり国の史跡に指定されています。駐車場は鶴ヶ城西出丸駐車場、鶴ヶ城南口駐車場、鶴ヶ城東口駐車場の3箇所がありそれぞれ有料となっております。",中心市街地エリア（会津若松駅・鶴ヶ城）,965-0873,福島県会津若松市追手町1-1,0242-27-4005,鶴ヶ城管理事務所,天守閣への入場8：30～17：00(入場締め切りは16：30)＊夜間は四季折々にライトアップされた天守をお楽しみいただけます。,無休,＜入場料＞　　　大人410円（天守閣・麟閣共通券　大人520円）小中学生150円＊麟閣【りんかく】（千利休の子、少庵が当時の会津領主蒲生氏郷のために建てたとされるお茶室）,https://www.tsurugajo.com/,ハイカラさん・あかべぇ「鶴ヶ城入口」下車、徒歩５分磐越自動車道：会津若松ＩＣより約15分,普通車360台（有料）※鶴ヶ城西出丸駐車場、鶴ヶ城南口駐車場、鶴ヶ城東口駐車場の3か所ございます,障がい者の方は、障がい者手帳をご提示で入場料が無料になります（ご本人様のみ）※天守閣内部は全て階段となっています。多目的トイレ(車イス・ベビーベット)スロープ・車イス貸出・車イスでの見学公園内一部可能・AEDの設置,,,37.48768,139.929836
白虎隊十九士の墓,ビャッコタイジュウキュウシノハカ,https://www.aizukanko.com/spot/137,幕末の大きな時代の流れの中で戊辰に散った白虎隊の霊が眠る,戊辰戦争のおり、16～17歳の少年たちで編成された白虎士中二番隊が戸の口原合戦場から退却し、滝沢峠の間道を通り、戸の口堰の洞門をくぐり飯盛山に辿り着くと、鶴ヶ城の天守閣は黒煙の中に見え隠れして、「城は陥落したか、今は主君のために殉じよう」と、全員が自決しました。1人だけ生き残った 飯沼貞吉 によって、白虎隊の忠義と悲運の物語は広く人々に知られるところとなりました。春と秋の年2回行われる墓前祭では、白虎隊を偲びその霊を慰める剣舞が奉納されます。,中心市街地エリア（会津若松駅・鶴ヶ城）,,福島県会津若松市一箕町八幡弁天下,,,,,,,【バス】まちなか周遊バス　ハイカラさん・あかべぇ「飯盛山下」下車、徒歩５分【車】　磐越自動車道会津若松ＩＣより約15分,飯盛山市営駐車場をご利用ください。※飯盛山観光案内所の隣です。　TEL:0242-33-6030,,,,37.504219,139.954652
会津武家屋敷,アイヅブケヤシキ,https://www.aizukanko.com/spot/46,会津藩家老・西郷頼母の屋敷を中心に、県重要文化財が目白押し,会津武士道を中心とした会津の歴史、文化の伝承と発信を使命とする施設が「歴史感動ミュージアム会津武家屋敷」です。2300坪及ぶ会津藩家老西郷頼母邸はけやき・ひのき・杉材を使用した和様建築の豪華壮大な造りとなっており、表門に足を踏み入れると、そこからもうタイムスリップ、会津武士の生活が偲ばれます。他に歴史資料館、精米所、県重要文化財の陣屋や茶屋なども軒を連ね見どころ満載です。赤べこや起上り小法師の絵付けの体験コーナーもあり、弓道体験では的を射ぬくと景品をゲット出来ます。「お食事処・九曜亭」、福島・会津のいいものを集めた「郷工房・古今」へは見学せずに直接お入り頂けます。,中心市街地エリア（会津若松駅・鶴ヶ城）,965-0813,福島県会津若松市東山町石山院内1,0242-28-2525,,8:30～17:00　(4月～11月)9:00～16:30　(12月～3月),年中無休,＜入場料＞一般850円　中高生550円　小学生450円　＜体験＞赤べこ等絵付け　920円～　ガラス絵彫り　　750円,http://bukeyashiki.com/,【車】磐越自動車道　会津若松ICから車で約15分　【電車】JR会津若松駅から周遊バス利用で約30分,普通車100台,障がい者の方は、障害者手帳をご提示でご本人様とお付添い1名様まで障がい者割引あり（650円）多目的トイレ(車イス・ベビーベット)・車イスの貸し出し・車イスでの見学一部可能,観覧料の団体割引　一般850円→750円　中高生550円→470円　小学生450円→370円　※適用は同伴者5名様迄,車椅子の利用について：売店、食事処については基本的にバリアフリーとなっていますが、歴史的な観覧ゾーンについては段差がございます,37.485807,139.953761
御薬園(国指定名勝・会津松平氏庭園),オヤクエン(クニシテイメイショウ・マツダイラシテイエン),https://www.aizukanko.com/spot/136,会津歴代の藩主が眺めてきた四季の景色　深として香る日本の佇まいと歴史を映し出す庭園。,江戸時代の代表的な大名型山水庭園として国の名勝に指定されました。今から約600年前の室町時代、霊泉が湧出したこの地に、会津領主が別荘を建てたのが始まりといわれています。後に各種薬草を栽培する薬草園が設けられ、「御薬園」と呼ばれるようになりました。戊辰戦争時は、ここが新政府軍の療養所として使用されたため、戦火に巻き込まれずに往時の姿をとどめています。歴代藩主がこよなく愛した庭園で、歴史の香る癒しのひと時をお過ごし下さい。藩主も眺めた御茶屋御殿から当時の風景をしのびながら抹茶（有料）を頂くこともできます。,中心市街地エリア（会津若松駅・鶴ヶ城）,965-0804,福島県会津若松市花春町8-1,0242-27-2472,,8:30～17:00(入園締め切りは16:30),無休,＜入園券＞大人330円、高校生270円、小中学生160円＜お抹茶＞一席600円※お得な、入園券とお抹茶セットもございます。,https://www.tsurugajo.com/,【バス】まちなか周遊バス　ハイカラさんバス停「御薬園」下車すぐ、あかべぇバス停「会津若松商工会議所前」下車 徒歩5分【車】磐越自動車道：会津若松ＩＣより約20分,大型車4台・普通車40台,障がい者の方は、障がい者手帳をご提示で入場料が無料になります（ご本人様のみ）※車イスでのご見学は一部可能※車イスの貸し出し・AEDの設置,,,37.491026,139.943933
茶室麟閣(県指定重要文化財),チャシツリンカク(ケンシテイジュウヨウブンカザイ),https://www.aizukanko.com/spot/135,千利休の子少庵ゆかりの茶室。庭園の四季を眺めながらお茶が楽しめます！,会津藩主蒲生氏郷の茶道の恩師千利休が自害したのち、氏郷がその子千少庵を会津に招き、茶道振興のため滞在させていたときに建てた茶室。明治7年に若松城解体の際、石州流怡渓派森川善兵衛が政府に願い出て自宅に移築し、保存されていましたが、平成２年に、元の場所である鶴ヶ城内に移築復元されました。 庭園を眺めながらお茶を楽しむことが出来ます。 ,中心市街地エリア（会津若松駅・鶴ヶ城）,965-0873,福島県会津若松市追手町1-1,0242-27-4005,会津若松観光ビューロー「鶴ヶ城管理事務所」,8:30～17:00(入場締め切りは16:30),無休,◆大人　210円　小中学生　無料※天守閣共通券　大人520円、小中学生150円◆お抹茶　一席：600円(お菓子付),https://www.tsurugajo.com/,ハイカラさん・あかべぇ「鶴ヶ城北口下車、徒歩５分磐越自動車道：会津若松ＩＣより約20分,普通車360台,障がい者の方は、障がい者手帳をご提示で入場料が無料になります（ご本人様のみ）※冬期間は雪の影響から車イスでのご見学が難しい場合がございます。　事前にご確認をお願いいたします。（鶴ヶ城管理事務所：0242-27-4005）,,,37.486778,139.93093
旧滝沢本陣(国指定史跡・国指定重要文化財),キュウタキザワホンジン,https://www.aizukanko.com/spot/139,松平容保公が陣を敷き白虎隊士が出陣の命を受けた場所,参勤交代や領内巡視などの際の殿様の休息所。戊辰戦争の際に本営となり、白虎隊もここで命をうけて戸ノ口原戦場へと出陣していきました。茅葺きの屋根におおわれた書院づくりの建物は、国の重要文化財に指定され、御入御門、御座の間、御次の間などが当時の姿のまま残されており、さらに歴代藩主の愛用した身回り品、参勤交代の道具類、古文書なども保管されています。建物のあちらこちらには弾痕や刀傷があり、当時の戦いの痕跡をとどめています。,中心市街地エリア（会津若松駅・鶴ヶ城）,965-0003,福島県会津若松市一箕町滝沢122,0242-22-8525,,4月～9月　…　9:00～17:00　10月～11月　…　9:00～16:00　12月～3月　…　要予約,不定休,大人400円　高校生300円　中学生200円　子供100円※割引はございません。（通常料金のみ）,,ハイカラさん・あかべぇ「飯盛山下」下車、徒歩5分磐越自動車道：会津若松ＩＣより約15分,普通車7台,,,,37.506185,139.95271
天寧寺・近藤勇の墓,テンネイジ・コンドウイサミノハカ,https://www.aizukanko.com/spot/207,11代葦名盛信の建立により創設。裏手の墓地には新選組の近藤勇の墓があります,応永28年（1422）、会津にきた傑堂禅師が11代芦名盛信の建立により創立した寺。かつては会津曹洞宗の僧録司で、末寺33カ寺、12の寺院をかぞえました。のちに伊達氏の侵攻にあって焼けたため、芦名氏の菩提寺としての面影は、本堂の礎石にわずかに残るのみです。　天寧寺の裏手の墓地には新選組の近藤勇の墓があります。土方歳三が遺髪などを持っていて会津戦の折、ここに仮埋葬したといいます。４月２５日の近藤勇の命日には、墓前祭りが開催されます。また、藩主松平容保が京都守護職にあった際の国家老で、戊辰戦争の責任者となり明治2年に切腹した萱野権兵衛と、その次男郡長正の墓もあります。,中心市街地エリア（会津若松駅・鶴ヶ城）,965-0813,福島県会津若松市東山町石山天寧208,0242-26-3906,,,,,,ハイカラさん・あかべぇ「奴郎ヶ前」下車、徒歩15分,,,,拝観自由,37.490221,139.95315
松平家墓所,マツダイラケボショ,https://www.aizukanko.com/spot/27,松平家の歴代藩主が眠る、山腹の広大な史跡,「会津藩主松平家墓所」は、会津藩の二代藩主保科正経公から幕末の九代藩主容保公までが葬られており、昭和62年5月に国の史跡に指定されました。初代藩主の保科正之公は猪苗代町の土津神社に葬られています。このお墓は通称「院内御廟」と呼ばれ親しまれていますが、その面積は約15万平方メートルと広大で、墓域の中腹には西の御庭、中の御庭と呼ばれる藩主の家族のお墓があり、さらに石段を上がったところに藩主の墓があります。三代から九代藩主は全国的にも珍しい神式で葬送されており、構造もこの墓所独特のものになっています。新緑の時期や紅葉の時期に、散策をかねてのお参りをする人も多いスポットです。,中心市街地エリア（会津若松駅・鶴ヶ城）,965-0813,福島県会津若松市東山町大字石山字墓山,0242-39-1305,,,,,,バス停「院内」から松平家墓所入口まで徒歩５分,,,,車でお越しの際は、東山温泉共同駐車場をご利用ください,37.485126,139.958679
阿弥陀寺,アミダジ,https://www.aizukanko.com/spot/226,かつては鶴ヶ城本丸内にあり密議の場所として使われた建物も残る。,阿弥陀寺内にある御三階はかつては鶴ヶ城本丸内にあった建物です。外観上は三階ですが、内部が四層になっており密議の場所として使用されたといわれています。明治3年本丸にあった鶴ヶ城御三階は阿弥陀寺にうつされ、仮本堂として使用されました。また阿弥陀寺には、戊辰戦争戦死者が埋葬（東軍墓地）されており、斉藤一の墓、萱野権兵衛遥拝碑もあります。,中心市街地エリア（会津若松駅・鶴ヶ城）,965-0044,福島県会津若松市七日町4-20,0242-23-9611,七日町観光案内所,,,,,ハイカラさん・あかべぇ「七日町駅前」下車すぐ ,,,,,37.500636,139.919
